x,y,Id,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Equation,Slope,p value
44,39,4,4699,4018,4041,4145,3312,3494,2817,4472,1587,1921,1798,Trend = 555425.16 + -273.6 * Years,-273.6,0.002
45,39,19,3940,4155,4125,4229,4072,4114,4206,3354,3370,2801,2861,Trend = 273279.33 + -133.56 * Years,-133.564,0.003
47,38,12,7269,7129,7061,7438,5621,6200,6679,7466,4319,3875,3264,Trend = 742654.22 + -365.03 * Years,-365.027,0.004
48,39,11,8646,9001,8619,8739,7688,7504,8168,7463,6862,8085,7247,Trend = 338256.87 + -163.65 * Years,-163.655,0.005
49,38,31,10974,9226,8975,8130,7691,6183,14979,17682,16293,15316,17229,Trend = -1895517.07 + 945.28 * Years,945.282,0.01
46,38,45,1009,964,969,1051,1052,985,1015,978,803,813,654,Trend = 57072.82 + -27.82 * Years,-27.818,0.01
47,38,32,20510,18793,17217,18401,38018,34884,36876,39476,35036,32989,32735,Trend = -3866558.02 + 1930.67 * Years,1930.673,0.011
46,37,5,4019,3655,3564,3666,3523,3416,3550,3972,2981,3186,3035,Trend = 148545.25 + -71.87 * Years,-71.873,0.015
46,38,44,3443,3629,3114,3723,1860,2503,3844,3959,1485,456,0,Trend = 595802.22 + -293.98 * Years,-293.982,0.018
46,37,40,1920,1340,1497,2204,1877,1209,2147,3056,3036,2846,2209,Trend = -255815.18 + 127.82 * Years,127.818,0.029
47,37,3,5542,3902,4406,4302,3063,2975,4894,3921,3275,3073,2860,Trend = 353318.45 + -173.18 * Years,-173.182,0.03
48,37,60,3116,2377,2044,2623,2237,2068,2897,2652,2029,1432,1526,Trend = 205118.51 + -100.52 * Years,-100.518,0.038
49,37,24,8108,21297,23452,26730,25848,25703,27076,25369,24997,24725,26573,Trend = -1979294.76 + 992.53 * Years,992.527,0.047
48,36,43,11556,9377,7633,8903,5708,3642,11133,12958,4779,2427,168,Trend = 1470478.6 + -725.15 * Years,-725.155,0.058
47,35,57,9179,7468,7316,9308,8916,7952,9860,7259,7601,6487,4820,Trend = 521836.22 + -254.71 * Years,-254.709,0.059
47,36,36,6979,12471,10814,7795,8359,5144,12033,14578,10972,14323,13529,Trend = -1051052.05 + 526.11 * Years,526.109,0.078
47,35,56,14116,11930,9492,9716,8253,4910,13093,13365,15448,15707,19753,Trend = -1332359.56 + 666.35 * Years,666.355,0.087
47,35,59,1878,1414,1523,3864,2268,3827,3489,3202,3007,2618,3128,Trend = -280048.09 + 140.14 * Years,140.136,0.093
46,34,2,5756,5448,6172,6517,6161,6705,6746,6012,5584,4500,3683,Trend = 305627.89 + -148.6 * Years,-148.6,0.098
46,33,53,57875,86755,65901,70567,60292,62800,108460,99620,77789,70132,107909,Trend = -5894655.35 + 2960.15 * Years,2960.145,0.101
47,33,34,11474,8664,4010,7027,9753,3541,10448,15383,10923,17186,11355,Trend = -1304271.47 + 651.26 * Years,651.264,0.103
48,33,30,4174,4850,4112,5543,4669,4123,6065,5424,4356,4679,7021,Trend = -278270.71 + 140.37 * Years,140.373,0.115
49,33,7,1128,1114,1165,1358,667,1045,1324,1283,1007,1044,17,Trend = 107454.15 + -52.75 * Years,-52.745,0.155
47,33,1,7342,4875,4545,4085,3318,5229,7078,4913,4216,3422,3490,Trend = 383479.13 + -187.66 * Years,-187.664,0.158
48,35,21,3952,8857,5804,11693,11455,9718,12579,11415,9552,6619,12002,Trend = -781450.18 + 391.91 * Years,391.909,0.158
49,34,42,333,20,0,0,0,0,154,3,0,1,0,Trend = 29050.62 + -14.37 * Years,-14.373,0.163
49,34,52,70780,63363,70198,75362,64359,58924,64021,58894,49422,73916,59019,Trend = 2122655.36 + -1019.95 * Years,-1019.955,0.179
50,33,28,1110,1476,1504,1318,1740,570,1462,1375,839,965,959,Trend = 92167.49 + -45.07 * Years,-45.073,0.189
50,33,37,8245,10974,3754,2574,2514,1893,14398,11347,7121,10820,12120,Trend = -1061560.18 + 529.91 * Years,529.909,0.233
50,31,38,13171,11576,8620,6848,6954,4424,6311,11208,8887,5779,9330,Trend = 623312.27 + -304.68 * Years,-304.682,0.258
52,31,17,6628,8236,9305,8723,6257,6216,9142,7638,4456,5696,7714,Trend = 347802.05 + -168.75 * Years,-168.745,0.275
53,29,10,7068,6439,6108,9738,8488,8982,9850,8151,7069,8861,7882,Trend = -263986.93 + 134.81 * Years,134.809,0.288
57,28,29,2421,2040,2710,2720,2825,1116,2697,2386,835,1117,2700,Trend = 162078.13 + -79.25 * Years,-79.255,0.294
57,27,47,4216,3109,3993,4690,4014,4002,4419,3821,3219,3155,3746,Trend = 110641.98 + -52.92 * Years,-52.918,0.307
58,26,50,5380,4675,6050,7445,8262,6452,8657,7678,4668,3423,2720,Trend = 402079.76 + -196.3 * Years,-196.3,0.319
61,26,25,4836,3045,2685,5628,5102,5462,5554,4706,3634,2355,2161,Trend = 273417.45 + -133.45 * Years,-133.455,0.327
62,26,6,2062,1254,2080,2344,1964,1610,2294,2069,2031,1866,503,Trend = 106651.11 + -51.95 * Years,-51.945,0.333
62,27,23,60940,58990,62827,61860,56568,53061,68546,58326,41265,55779,60986,Trend = 1386131.82 + -658.09 * Years,-658.091,0.345
60,36,54,21207,18452,10379,17085,15077,11464,22717,19336,15205,19826,23827,Trend = -811819.44 + 411.05 * Years,411.055,0.347
59,37,41,3106,2700,2503,3228,2875,2636,3957,3011,2594,2477,2108,Trend = 93847.71 + -45.1 * Years,-45.1,0.361
57,38,48,2656,2573,3197,3604,3505,3216,3552,3301,2908,2190,2212,Trend = 97984.95 + -47.07 * Years,-47.073,0.368
55,38,9,784,558,774,1047,474,813,1052,836,563,638,416,Trend = 37359.05 + -18.15 * Years,-18.155,0.401
55,37,20,2967,3500,2956,3574,3383,3486,3751,3407,2859,2184,3278,Trend = 75971.25 + -36.05 * Years,-36.055,0.422
55,37,39,1143,1066,1136,1194,1137,849,1626,1759,989,874,420,Trend = 59905.64 + -29.14 * Years,-29.136,0.428
49,36,58,2616,535,2058,2709,2123,3244,3171,2800,2865,1835,1844,Trend = -89216.71 + 45.37 * Years,45.373,0.57
51,36,13,25119,21230,15873,33367,26815,34072,31584,22625,17927,14760,24764,Trend = 725319.13 + -347.35 * Years,-347.345,0.615
51,36,55,17818,17447,13624,13040,11341,9095,18271,17066,15813,15850,18236,Trend = -301240.98 + 156.83 * Years,156.827,0.618
52,36,51,16890,25353,26258,18179,18999,16492,31278,20770,21826,17489,27513,Trend = -451839.65 + 234.76 * Years,234.764,0.646
52,36,49,5601,3881,4707,8559,8212,6232,10930,8617,8769,4921,3969,Trend = -195403.45 + 100.18 * Years,100.182,0.679
52,36,27,884,1271,1681,3017,2603,1833,3686,2577,770,1756,1766,Trend = -68093.82 + 34.73 * Years,34.727,0.708
51,33,8,1389,894,1408,2424,1299,1396,2218,1329,1009,1420,1070,Trend = 37380.2 + -17.81 * Years,-17.809,0.714
50,32,16,39223,38556,38751,44709,41297,40705,47024,33281,30980,42513,40578,Trend = 367047.93 + -162.17 * Years,-162.173,0.731
49,32,18,13606,11875,9113,14970,17361,17634,16659,15947,12791,10485,10052,Trend = 216288.38 + -100.4 * Years,-100.4,0.749
50,31,15,7909,6842,5511,8966,8547,8768,9110,8638,7000,6410,8205,Trend = -67883.71 + 37.51 * Years,37.509,0.76
51,31,35,17646,21748,14810,15806,17924,12702,18475,20255,16263,17054,19961,Trend = -103695.33 + 60.06 * Years,60.064,0.823
51,30,33,7576,9254,4526,6970,10342,1942,9237,12463,4648,9987,3955,Trend = 97724.25 + -44.78 * Years,-44.782,0.894
45,37,14,5815,6082,6565,6878,6540,6358,7795,8317,6795,5475,5575,Trend = -15359.64 + 10.86 * Years,10.864,0.905
45,38,22,78366,71791,53707,144795,132630,117942,147284,131099,80121,48107,91569,Trend = -593381.67 + 343.48 * Years,343.482,0.927
46,35,26,2188,2418,2699,4133,3997,3166,4198,3952,1788,2810,2570,Trend = -7630.2 + 5.31 * Years,5.309,0.952
49,37,46,10307,7828,9171,11604,12933,11903,12765,12561,8841,8816,9430,Trend = 4634.33 + 2.94 * Years,2.936,0.988
